Index,Timestamp (s),Peak Frequency (Hz),Potential Event
1,0.0116,172.27,LARGE EXPLOSION (Low Frequency)
2,0.0232,215.33,LARGE EXPLOSION (Low Frequency)
3,0.0348,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
4,0.0464,129.20,LARGE EXPLOSION (Low Frequency)
5,0.0580,646.00,GUNSHOT (9mm/Rifle Spectral Peak)
6,0.0697,1119.73,GUNSHOT (9mm/Rifle Spectral Peak)
7,0.0813,172.27,LARGE EXPLOSION (Low Frequency)
8,0.0929,1248.93,GUNSHOT (9mm/Rifle Spectral Peak)
9,0.1045,215.33,LARGE EXPLOSION (Low Frequency)
10,0.1161,1421.19,GUNSHOT (9mm/Rifle Spectral Peak)
11,0.1277,215.33,LARGE EXPLOSION (Low Frequency)
12,0.1393,301.46,LARGE EXPLOSION (Low Frequency)
13,0.1509,258.40,LARGE EXPLOSION (Low Frequency)
14,0.1625,301.46,LARGE EXPLOSION (Low Frequency)
15,0.1741,344.53,LARGE EXPLOSION (Low Frequency)
16,0.1858,301.46,LARGE EXPLOSION (Low Frequency)
17,0.1974,301.46,LARGE EXPLOSION (Low Frequency)
18,0.2090,301.46,LARGE EXPLOSION (Low Frequency)
19,0.2206,301.46,LARGE EXPLOSION (Low Frequency)
20,0.2322,301.46,LARGE EXPLOSION (Low Frequency)
21,0.2438,301.46,LARGE EXPLOSION (Low Frequency)
22,0.2554,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
23,0.2670,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
24,0.2786,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
25,0.2902,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
26,0.3019,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
27,0.3135,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
28,0.3251,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
29,0.3367,6546.09,SHARP CRACK/ASPIRATION (High Frequency)
30,0.3483,6416.89,SHARP CRACK/ASPIRATION (High Frequency)
31,0.3599,6158.50,SHARP CRACK/ASPIRATION (High Frequency)
32,0.3715,6373.83,SHARP CRACK/ASPIRATION (High Frequency)
33,0.3831,6589.16,SHARP CRACK/ASPIRATION (High Frequency)
34,0.3947,6029.30,SHARP CRACK/ASPIRATION (High Frequency)
35,0.4063,0.00,FIREWORK/MORTAR (Sub-Bass Thump)
36,0.4180,129.20,LARGE EXPLOSION (Low Frequency)
37,0.4296,215.33,LARGE EXPLOSION (Low Frequency)
38,0.4412,215.33,LARGE EXPLOSION (Low Frequency)
39,0.4528,172.27,LARGE EXPLOSION (Low Frequency)
40,0.4644,172.27,LARGE EXPLOSION (Low Frequency)
41,0.4760,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
42,0.4876,43.07,FIREWORK/MORTAR (Sub-Bass Thump)
43,0.4992,43.07,FIREWORK/MORTAR (Sub-Bass Thump)
44,0.5108,129.20,LARGE EXPLOSION (Low Frequency)
45,0.5224,43.07,FIREWORK/MORTAR (Sub-Bass Thump)
46,0.5341,301.46,LARGE EXPLOSION (Low Frequency)
47,0.5457,258.40,LARGE EXPLOSION (Low Frequency)
48,0.5573,172.27,LARGE EXPLOSION (Low Frequency)
49,0.5689,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
50,0.5805,215.33,LARGE EXPLOSION (Low Frequency)
51,0.5921,215.33,LARGE EXPLOSION (Low Frequency)
52,0.6037,215.33,LARGE EXPLOSION (Low Frequency)
53,0.6153,215.33,LARGE EXPLOSION (Low Frequency)
54,0.6269,215.33,LARGE EXPLOSION (Low Frequency)
55,0.6385,473.73,Ambient/Speech
56,0.6502,473.73,Ambient/Speech
57,0.6618,1248.93,GUNSHOT (9mm/Rifle Spectral Peak)
58,0.6734,1550.39,Ambient/Speech
59,0.6850,1593.46,Ambient/Speech
60,0.6966,1550.39,Ambient/Speech
61,0.7082,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
62,0.7198,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
63,0.7314,215.33,LARGE EXPLOSION (Low Frequency)
64,0.7430,430.66,Ambient/Speech
65,0.7546,43.07,FIREWORK/MORTAR (Sub-Bass Thump)
66,0.7663,215.33,LARGE EXPLOSION (Low Frequency)
67,0.7779,129.20,LARGE EXPLOSION (Low Frequency)
68,0.7895,129.20,LARGE EXPLOSION (Low Frequency)
69,0.8011,129.20,LARGE EXPLOSION (Low Frequency)
70,0.8127,215.33,LARGE EXPLOSION (Low Frequency)
71,0.8243,215.33,LARGE EXPLOSION (Low Frequency)
72,0.8359,172.27,LARGE EXPLOSION (Low Frequency)
73,0.8475,0.00,FIREWORK/MORTAR (Sub-Bass Thump)
74,0.8591,258.40,LARGE EXPLOSION (Low Frequency)
75,0.8707,2497.85,Ambient/Speech
76,0.8824,2670.12,Ambient/Speech
77,0.8940,4306.64,SHARP CRACK/ASPIRATION (High Frequency)
78,0.9056,5211.04,SHARP CRACK/ASPIRATION (High Frequency)
79,0.9172,4823.44,SHARP CRACK/ASPIRATION (High Frequency)
80,0.9288,646.00,GUNSHOT (9mm/Rifle Spectral Peak)
81,0.9404,2239.45,Ambient/Speech
82,0.9520,2842.38,Ambient/Speech
83,0.9636,3186.91,Ambient/Speech
84,0.9752,1981.05,Ambient/Speech
85,0.9868,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
86,0.9985,1937.99,Ambient/Speech
87,1.0101,215.33,LARGE EXPLOSION (Low Frequency)
88,1.0217,172.27,LARGE EXPLOSION (Low Frequency)
89,1.0333,215.33,LARGE EXPLOSION (Low Frequency)
90,1.0449,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
91,1.0565,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
92,1.0681,172.27,LARGE EXPLOSION (Low Frequency)
93,1.0797,215.33,LARGE EXPLOSION (Low Frequency)
94,1.0913,215.33,LARGE EXPLOSION (Low Frequency)
95,1.1029,215.33,LARGE EXPLOSION (Low Frequency)
96,1.1146,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
97,1.1262,344.53,LARGE EXPLOSION (Low Frequency)
98,1.1378,215.33,LARGE EXPLOSION (Low Frequency)
99,1.1494,215.33,LARGE EXPLOSION (Low Frequency)
100,1.1610,301.46,LARGE EXPLOSION (Low Frequency)
101,1.1726,172.27,LARGE EXPLOSION (Low Frequency)
102,1.1842,129.20,LARGE EXPLOSION (Low Frequency)
103,1.1958,172.27,LARGE EXPLOSION (Low Frequency)
104,1.2074,215.33,LARGE EXPLOSION (Low Frequency)
105,1.2190,258.40,LARGE EXPLOSION (Low Frequency)
106,1.2307,258.40,LARGE EXPLOSION (Low Frequency)
107,1.2423,215.33,LARGE EXPLOSION (Low Frequency)
108,1.2539,258.40,LARGE EXPLOSION (Low Frequency)
109,1.2655,215.33,LARGE EXPLOSION (Low Frequency)
110,1.2771,172.27,LARGE EXPLOSION (Low Frequency)
111,1.2887,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
112,1.3003,516.80,GUNSHOT (9mm/Rifle Spectral Peak)
113,1.3119,129.20,LARGE EXPLOSION (Low Frequency)
114,1.3235,129.20,LARGE EXPLOSION (Low Frequency)
115,1.3351,215.33,LARGE EXPLOSION (Low Frequency)
116,1.3468,344.53,LARGE EXPLOSION (Low Frequency)
117,1.3584,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
118,1.3700,172.27,LARGE EXPLOSION (Low Frequency)
119,1.3816,258.40,LARGE EXPLOSION (Low Frequency)
120,1.3932,258.40,LARGE EXPLOSION (Low Frequency)
121,1.4048,301.46,LARGE EXPLOSION (Low Frequency)
122,1.4164,129.20,LARGE EXPLOSION (Low Frequency)
123,1.4280,258.40,LARGE EXPLOSION (Low Frequency)
124,1.4396,602.93,GUNSHOT (9mm/Rifle Spectral Peak)
125,1.4512,215.33,LARGE EXPLOSION (Low Frequency)
126,1.4629,129.20,LARGE EXPLOSION (Low Frequency)
127,1.4745,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
128,1.4861,129.20,LARGE EXPLOSION (Low Frequency)
129,1.4977,172.27,LARGE EXPLOSION (Low Frequency)
130,1.5093,215.33,LARGE EXPLOSION (Low Frequency)
131,1.5209,215.33,LARGE EXPLOSION (Low Frequency)
132,1.5325,215.33,LARGE EXPLOSION (Low Frequency)
133,1.5441,215.33,LARGE EXPLOSION (Low Frequency)
134,1.5557,516.80,GUNSHOT (9mm/Rifle Spectral Peak)
135,1.5673,516.80,GUNSHOT (9mm/Rifle Spectral Peak)
136,1.5790,516.80,GUNSHOT (9mm/Rifle Spectral Peak)
137,1.5906,516.80,GUNSHOT (9mm/Rifle Spectral Peak)
138,1.6022,559.86,GUNSHOT (9mm/Rifle Spectral Peak)
139,1.6138,559.86,GUNSHOT (9mm/Rifle Spectral Peak)
140,1.6254,516.80,GUNSHOT (9mm/Rifle Spectral Peak)
141,1.6370,516.80,GUNSHOT (9mm/Rifle Spectral Peak)
142,1.6486,516.80,GUNSHOT (9mm/Rifle Spectral Peak)
143,1.6602,473.73,Ambient/Speech
144,1.6718,473.73,Ambient/Speech
145,1.6834,430.66,Ambient/Speech
146,1.6951,215.33,LARGE EXPLOSION (Low Frequency)
147,1.7067,215.33,LARGE EXPLOSION (Low Frequency)
148,1.7183,172.27,LARGE EXPLOSION (Low Frequency)
149,1.7299,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
150,1.7415,1119.73,GUNSHOT (9mm/Rifle Spectral Peak)
151,1.7531,215.33,LARGE EXPLOSION (Low Frequency)
152,1.7647,473.73,Ambient/Speech
153,1.7763,430.66,Ambient/Speech
154,1.7879,344.53,LARGE EXPLOSION (Low Frequency)
155,1.7995,215.33,LARGE EXPLOSION (Low Frequency)
156,1.8112,947.46,GUNSHOT (9mm/Rifle Spectral Peak)
157,1.8228,1162.79,GUNSHOT (9mm/Rifle Spectral Peak)
158,1.8344,818.26,GUNSHOT (9mm/Rifle Spectral Peak)
159,1.8460,301.46,LARGE EXPLOSION (Low Frequency)
160,1.8576,904.39,GUNSHOT (9mm/Rifle Spectral Peak)
161,1.8692,904.39,GUNSHOT (9mm/Rifle Spectral Peak)
162,1.8808,904.39,GUNSHOT (9mm/Rifle Spectral Peak)
163,1.8924,947.46,GUNSHOT (9mm/Rifle Spectral Peak)
164,1.9040,947.46,GUNSHOT (9mm/Rifle Spectral Peak)
165,1.9156,947.46,GUNSHOT (9mm/Rifle Spectral Peak)
166,1.9273,990.53,GUNSHOT (9mm/Rifle Spectral Peak)
167,1.9389,473.73,Ambient/Speech
168,1.9505,473.73,Ambient/Speech
169,1.9621,473.73,Ambient/Speech
170,1.9737,172.27,LARGE EXPLOSION (Low Frequency)
171,1.9853,344.53,LARGE EXPLOSION (Low Frequency)
