Index,Timestamp (s),Peak Frequency (Hz),Potential Event
1,0.0116,646.00,GUNSHOT (9mm/Rifle Spectral Peak)
2,0.0232,732.13,GUNSHOT (9mm/Rifle Spectral Peak)
3,0.0348,732.13,GUNSHOT (9mm/Rifle Spectral Peak)
4,0.0464,689.06,GUNSHOT (9mm/Rifle Spectral Peak)
5,0.0580,732.13,GUNSHOT (9mm/Rifle Spectral Peak)
6,0.0697,689.06,GUNSHOT (9mm/Rifle Spectral Peak)
7,0.0813,301.46,LARGE EXPLOSION (Low Frequency)
8,0.0929,258.40,LARGE EXPLOSION (Low Frequency)
9,0.1045,301.46,LARGE EXPLOSION (Low Frequency)
10,0.1161,215.33,LARGE EXPLOSION (Low Frequency)
11,0.1277,215.33,LARGE EXPLOSION (Low Frequency)
12,0.1393,172.27,LARGE EXPLOSION (Low Frequency)
13,0.1509,172.27,LARGE EXPLOSION (Low Frequency)
14,0.1625,215.33,LARGE EXPLOSION (Low Frequency)
15,0.1741,215.33,LARGE EXPLOSION (Low Frequency)
16,0.1858,172.27,LARGE EXPLOSION (Low Frequency)
17,0.1974,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
18,0.2090,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
19,0.2206,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
20,0.2322,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
21,0.2438,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
22,0.2554,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
23,0.2670,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
24,0.2786,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
25,0.2902,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
26,0.3019,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
27,0.3135,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
28,0.3251,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
29,0.3367,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
30,0.3483,172.27,LARGE EXPLOSION (Low Frequency)
31,0.3599,301.46,LARGE EXPLOSION (Low Frequency)
32,0.3715,301.46,LARGE EXPLOSION (Low Frequency)
33,0.3831,43.07,FIREWORK/MORTAR (Sub-Bass Thump)
34,0.3947,129.20,LARGE EXPLOSION (Low Frequency)
35,0.4063,172.27,LARGE EXPLOSION (Low Frequency)
36,0.4180,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
37,0.4296,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
38,0.4412,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
39,0.4528,215.33,LARGE EXPLOSION (Low Frequency)
40,0.4644,215.33,LARGE EXPLOSION (Low Frequency)
41,0.4760,430.66,Ambient/Speech
42,0.4876,430.66,Ambient/Speech
43,0.4992,430.66,Ambient/Speech
44,0.5108,215.33,LARGE EXPLOSION (Low Frequency)
45,0.5224,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
46,0.5341,430.66,Ambient/Speech
47,0.5457,861.33,GUNSHOT (9mm/Rifle Spectral Peak)
48,0.5573,215.33,LARGE EXPLOSION (Low Frequency)
49,0.5689,215.33,LARGE EXPLOSION (Low Frequency)
50,0.5805,473.73,Ambient/Speech
51,0.5921,430.66,Ambient/Speech
52,0.6037,473.73,Ambient/Speech
53,0.6153,1205.86,GUNSHOT (9mm/Rifle Spectral Peak)
54,0.6269,215.33,LARGE EXPLOSION (Low Frequency)
55,0.6385,1593.46,Ambient/Speech
56,0.6502,1550.39,Ambient/Speech
57,0.6618,1550.39,Ambient/Speech
58,0.6734,258.40,LARGE EXPLOSION (Low Frequency)
59,0.6850,258.40,LARGE EXPLOSION (Low Frequency)
60,0.6966,473.73,Ambient/Speech
61,0.7082,215.33,LARGE EXPLOSION (Low Frequency)
62,0.7198,732.13,GUNSHOT (9mm/Rifle Spectral Peak)
63,0.7314,516.80,GUNSHOT (9mm/Rifle Spectral Peak)
64,0.7430,215.33,LARGE EXPLOSION (Low Frequency)
