24.473333,B,
24.506667,B,
24.540000,P,
24.573333,B,
24.606667,B,
24.640000,B,
24.673333,P,
24.706667,B,
24.740000,B,
24.773333,B,
24.806667,P,
24.840000,B,
24.873333,B,
24.906667,B,
24.940000,P,
24.973333,B,
25.006667,B,
25.040000,B,
25.073333,P,
25.106667,B,
25.140000,B,
25.173333,B,
25.206667,I,
25.240000,B,
25.273333,B,
25.306667,B,
25.340000,P,
25.373333,B,
25.406667,B,
25.440000,B,
25.473333,P,
25.506667,B,
25.540000,B,
25.573333,B,
25.606667,P,
25.640000,B,
25.673333,B,
25.706667,B,
25.740000,P,
25.773333,B,
25.806667,B,
25.840000,B,
25.873333,P,
25.906667,B,
25.940000,B,
25.973333,B,
26.006667,P,
26.040000,B,
26.073333,B,
26.106667,B,
26.140000,I,
26.173333,B,
26.206667,B,
26.240000,B,
26.273333,P,
26.306667,B,
26.340000,B,
26.373333,B,
26.406667,P,
26.440000,B,
