Index,Timestamp (s),Peak Frequency (Hz),Potential Event
1,0.0116,301.46,LARGE EXPLOSION (Low Frequency)
2,0.0232,430.66,Ambient/Speech
3,0.0348,559.86,GUNSHOT (9mm/Rifle Spectral Peak)
4,0.0464,689.06,GUNSHOT (9mm/Rifle Spectral Peak)
5,0.0580,732.13,GUNSHOT (9mm/Rifle Spectral Peak)
6,0.0697,732.13,GUNSHOT (9mm/Rifle Spectral Peak)
7,0.0813,689.06,GUNSHOT (9mm/Rifle Spectral Peak)
8,0.0929,732.13,GUNSHOT (9mm/Rifle Spectral Peak)
9,0.1045,689.06,GUNSHOT (9mm/Rifle Spectral Peak)
10,0.1161,689.06,GUNSHOT (9mm/Rifle Spectral Peak)
11,0.1277,689.06,GUNSHOT (9mm/Rifle Spectral Peak)
12,0.1393,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
13,0.1509,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
14,0.1625,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
15,0.1741,301.46,LARGE EXPLOSION (Low Frequency)
16,0.1858,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
17,0.1974,129.20,LARGE EXPLOSION (Low Frequency)
18,0.2090,172.27,LARGE EXPLOSION (Low Frequency)
19,0.2206,129.20,LARGE EXPLOSION (Low Frequency)
20,0.2322,129.20,LARGE EXPLOSION (Low Frequency)
21,0.2438,172.27,LARGE EXPLOSION (Low Frequency)
22,0.2554,301.46,LARGE EXPLOSION (Low Frequency)
23,0.2670,301.46,LARGE EXPLOSION (Low Frequency)
24,0.2786,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
25,0.2902,172.27,LARGE EXPLOSION (Low Frequency)
26,0.3019,301.46,LARGE EXPLOSION (Low Frequency)
27,0.3135,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
28,0.3251,301.46,LARGE EXPLOSION (Low Frequency)
29,0.3367,301.46,LARGE EXPLOSION (Low Frequency)
30,0.3483,301.46,LARGE EXPLOSION (Low Frequency)
31,0.3599,301.46,LARGE EXPLOSION (Low Frequency)
32,0.3715,301.46,LARGE EXPLOSION (Low Frequency)
33,0.3831,258.40,LARGE EXPLOSION (Low Frequency)
34,0.3947,6029.30,SHARP CRACK/ASPIRATION (High Frequency)
35,0.4063,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
36,0.4180,129.20,LARGE EXPLOSION (Low Frequency)
37,0.4296,172.27,LARGE EXPLOSION (Low Frequency)
38,0.4412,129.20,LARGE EXPLOSION (Low Frequency)
39,0.4528,172.27,LARGE EXPLOSION (Low Frequency)
40,0.4644,344.53,LARGE EXPLOSION (Low Frequency)
41,0.4760,258.40,LARGE EXPLOSION (Low Frequency)
42,0.4876,301.46,LARGE EXPLOSION (Low Frequency)
43,0.4992,301.46,LARGE EXPLOSION (Low Frequency)
44,0.5108,387.60,LARGE EXPLOSION (Low Frequency)
45,0.5224,344.53,LARGE EXPLOSION (Low Frequency)
46,0.5341,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
47,0.5457,301.46,LARGE EXPLOSION (Low Frequency)
48,0.5573,473.73,Ambient/Speech
49,0.5689,473.73,Ambient/Speech
50,0.5805,473.73,Ambient/Speech
51,0.5921,473.73,Ambient/Speech
52,0.6037,258.40,LARGE EXPLOSION (Low Frequency)
53,0.6153,473.73,Ambient/Speech
54,0.6269,473.73,Ambient/Speech
55,0.6385,473.73,Ambient/Speech
56,0.6502,1507.32,Ambient/Speech
57,0.6618,1550.39,Ambient/Speech
58,0.6734,1593.46,Ambient/Speech
59,0.6850,1593.46,Ambient/Speech
60,0.6966,1550.39,Ambient/Speech
61,0.7082,516.80,GUNSHOT (9mm/Rifle Spectral Peak)
62,0.7198,473.73,Ambient/Speech
63,0.7314,473.73,Ambient/Speech
64,0.7430,473.73,Ambient/Speech
