7.605000,P,
7.621667,B,
7.638333,B,
7.655000,B,
7.671667,P,
7.688333,B,
7.705000,B,
7.721667,B,
7.738333,P,
7.755000,B,
7.771667,B,
7.788333,B,
7.805000,P,
7.821667,B,
7.838333,B,
7.855000,B,
7.871667,P,
7.888333,B,
7.905000,B,
7.921667,B,
7.938333,P,
7.955000,B,
7.971667,B,
7.988333,B,
8.005000,P,
8.021667,B,
8.038333,B,
8.056667,B,
8.073333,P,
8.090000,B,
8.106667,B,
8.123333,B,
8.140000,P,
8.156667,B,
8.173333,B,
8.190000,B,
8.206667,P,
8.223333,B,
8.240000,B,
8.256667,B,
8.273333,P,
8.290000,B,
8.306667,B,
8.323333,B,
8.340000,P,
8.356667,B,
8.373333,B,
8.390000,B,
8.406667,I,
8.423333,B,
8.440000,B,
8.456667,B,
8.473333,P,
8.490000,B,
8.506667,B,
8.523333,B,
8.540000,P,
8.556667,B,
8.573333,B,
8.590000,B,
8.606667,P,
8.623333,B,
8.640000,B,
8.656667,B,
8.673333,P,
8.690000,B,
8.706667,B,
8.723333,B,
8.740000,P,
8.756667,B,
8.773333,B,
8.790000,B,
8.806667,P,
8.823333,B,
8.840000,B,
8.856667,B,
8.873333,P,
8.890000,B,
8.906667,B,
8.923333,B,
8.940000,P,
8.956667,B,
8.973333,B,
8.990000,B,
9.006667,P,
9.023333,B,
9.040000,B,
9.056667,B,
9.073333,P,
9.090000,B,
9.106667,B,
9.123333,B,
9.140000,P,
9.156667,B,
9.173333,B,
9.190000,B,
9.206667,P,
9.223333,B,
9.240000,B,
9.256667,B,
9.273333,P,
9.290000,B,
9.306667,B,
9.323333,B,
9.340000,I,
9.356667,B,
9.373333,B,
9.390000,B,
9.406667,P,
9.423333,B,
9.440000,B,
9.456667,B,
9.473333,P,
9.490000,B,
9.506667,B,
9.523333,B,
9.540000,P,
9.556667,B,
9.573333,B,
9.590000,B,
