Time_s,TDOA_ms,Conf,Type,Energy_Ratio
1.0411666666666666,-0.7083333333333334,72.3,1-ORDER,1.0
1.1013125,-3.3333333333333335,69.1,1-ORDER,2.291
1.1393541666666667,-0.5625,73.9,[REFLECTION/DECAY],1.536
1.1457916666666668,-0.1875,74.4,[REFLECTION/DECAY],0.514
