2.250000,B
2.266667,P
2.283333,B
2.300000,B
2.316667,B
2.333333,P
2.350000,B
2.366667,B
2.383333,B
2.400000,P
2.416667,B
2.433333,B
2.450000,B
2.466667,P
2.483333,B
2.500000,B
2.516667,B
2.533333,P
2.550000,P
2.566667,P
2.583333,P
2.600000,P
2.616667,P
2.633333,P
2.650000,P
2.666667,P
2.683333,B
2.700000,B
2.716667,B
2.733333,P
2.750000,B
2.766667,B
2.783333,B
2.800000,P
2.816667,B
2.833333,B
2.850000,B
2.866667,P
2.883333,B
2.900000,B
2.916667,B
2.933333,P
2.950000,B
2.966667,B
2.983333,B
3.000000,P
3.016667,B
3.033333,B
3.050000,B
3.066667,P
3.083333,B
3.100000,B
3.116667,B
3.133333,P
3.150000,P
3.166667,P
3.183333,P
3.200000,P
3.216667,B
3.233333,B
3.250000,B
3.266667,P
3.283333,P
3.300000,P
3.316667,B
3.333333,B
3.350000,B
3.366667,P
3.383333,B
3.400000,B
3.416667,B
3.433333,P
3.450000,B
3.466667,B
3.483333,B
3.500000,P
3.516667,B
3.533333,B
3.550000,B
3.566667,P
3.583333,B
3.600000,B
3.616667,B
3.633333,P
3.650000,B
3.666667,B
3.683333,B
3.700000,P
3.716667,B
3.733333,B
3.750000,B
3.766667,P
3.783333,B
3.800000,B
3.816667,B
3.833333,P
3.850000,B
3.866667,B
3.883333,B
3.900000,P
3.916667,P
3.933333,B
3.950000,B
3.966667,B
3.983333,P
4.000000,B
4.016667,B
4.033333,B
4.050000,P
4.066667,B
4.083333,B
4.100000,B
4.116667,P
4.133333,P
4.150000,P
4.166667,I
4.183333,B
4.200000,B
4.216667,B
4.233333,P
4.250000,B
