mediapipe_joint_description,point_a_x,point_a_y,point_a_z,vertex_b_x,vertex_b_y,vertex_b_z,point_c_x,point_c_y,point_c_z,angle_deg
Left Elbow,0.11733992397785187,-0.37992751598358154,-0.0410396084189415,0.18358652293682098,-0.1551312953233719,-0.1307706981897354,0.08286303281784058,-0.20633605122566223,-0.22077062726020813,73.81
Right Elbow,-0.18754297494888306,-0.4540742337703705,-0.01262260414659977,-0.20231583714485168,-0.15423652529716492,-0.060765981674194336,-0.19799748063087463,-0.0263631884008646,-0.18507170677185059,144.70
Left Knee,0.09395873546600342,-0.015800299122929573,0.04977942630648613,0.37878021597862244,0.001858280971646309,-0.17696881294250488,0.39247047901153564,0.3781118392944336,-0.09122154861688614,86.37
Right Knee,-0.0912494957447052,0.013057226315140724,-0.048253271728754044,-0.1073169931769371,0.0367867574095726,-0.18682461977005005,-0.04737396538257599,0.20208904147148132,0.11094086617231369,38.49
Torso_Lean_Forward_Back,-0.035101525485515594,-0.417000874876976,-0.026831106282770634,0.0013546198606491089,-0.0013715364038944244,0.0007630772888660431,0.13573161140084267,0.019322519190609455,-0.18189671635627747,95.10
Head_Tilt_Lateral_Left,-0.050802807323634624,-0.5214738845825195,-0.17273396998643875,-0.035101525485515594,-0.417000874876976,-0.026831106282770634,0.11733992397785187,-0.37992751598358154,-0.0410396084189415,98.50
Head_Pitch_Forward_Back,-0.055050913244485855,-0.5217201709747314,-0.2840089797973633,-0.050802807323634624,-0.5214738845825195,-0.17273396998643875,-0.035101525485515594,-0.417000874876976,-0.026831106282770634,144.49
Torso_Twist_Orientation_Left,0.11733992397785187,-0.37992751598358154,-0.0410396084189415,-0.035101525485515594,-0.417000874876976,-0.026831106282770634,0.0013546198606491089,-0.0013715364038944244,0.0007630772888660431,71.80
