mediapipe_joint_description,point_a_x,point_a_y,point_a_z,vertex_b_x,vertex_b_y,vertex_b_z,point_c_x,point_c_y,point_c_z,angle_deg
Left Elbow,0.12967446446418762,-0.4361605942249298,0.043691035360097885,0.21221765875816345,-0.2525869607925415,-0.012350191362202168,0.2534641623497009,-0.13033220171928406,-0.06913827359676361,170.27
Right Elbow,-0.18946102261543274,-0.47354766726493835,0.035456202924251556,-0.22960737347602844,-0.16370195150375366,-0.09414279460906982,-0.21121229231357574,-0.0935937911272049,-0.3021948039531708,130.05
Left Knee,0.10769230872392654,0.0004328661598265171,0.041924841701984406,0.10847954452037811,0.37412482500076294,-0.07687631994485855,0.13601800799369812,0.6554717421531677,0.03534955158829689,140.35
Right Knee,-0.10548532754182816,-0.007618856616318226,-0.04163949564099312,-0.0038319993764162064,0.3382367789745331,-0.16085396707057953,-0.030716795474290848,0.6662670373916626,0.0822015032172203,121.75
Torso_Lean_Forward_Back,-0.02989327907562256,-0.4548541307449341,0.03957361914217472,0.0011034905910491943,-0.0035929952282458544,0.00014267303049564362,0.05232377257198095,0.356180801987648,-0.11886514350771904,166.23
Head_Tilt_Lateral_Left,-0.06202484294772148,-0.5672910809516907,-0.0829150602221489,-0.02989327907562256,-0.4548541307449341,0.03957361914217472,0.12967446446418762,-0.4361605942249298,0.043691035360097885,106.51
Head_Pitch_Forward_Back,-0.0676230937242508,-0.5637455582618713,-0.20294111967086792,-0.06202484294772148,-0.5672910809516907,-0.0829150602221489,-0.02989327907562256,-0.4548541307449341,0.03957361914217472,135.35
Torso_Twist_Orientation_Left,0.12967446446418762,-0.4361605942249298,0.043691035360097885,-0.02989327907562256,-0.4548541307449341,0.03957361914217472,0.0011034905910491943,-0.0035929952282458544,0.00014267303049564362,79.56
