mediapipe_joint_description,point_a_x,point_a_y,point_a_z,vertex_b_x,vertex_b_y,vertex_b_z,point_c_x,point_c_y,point_c_z,angle_deg
Left Elbow,0.17382949590682983,-0.46214058995246887,-0.02336057834327221,0.16466616094112396,-0.25151360034942627,-0.00170911627355963,0.14299914240837097,-0.028378155082464218,0.03366946429014206,175.66
Right Elbow,-0.10800346732139587,-0.532027542591095,-0.06710837036371231,-0.22447136044502258,-0.23057129979133606,-0.08438505232334137,-0.24121086299419403,0.026710940524935722,-0.09198436886072159,162.56
Left Knee,0.09221431612968445,0.006435474380850792,0.05502390116453171,0.06153973564505577,0.4067714810371399,0.0451950766146183,0.017558883875608444,0.6671088933944702,0.24139447510242462,141.67
Right Knee,-0.08905531466007233,-0.009725887328386307,-0.05394092947244644,-0.08932512253522873,0.36246389150619507,-0.04597413167357445,-0.15463745594024658,0.6932634115219116,0.11466540396213531,153.48
Torso_Lean_Forward_Back,0.03291301429271698,-0.4970840662717819,-0.04523447435349226,0.0015795007348060608,-0.0016452064737677574,0.0005414858460426331,-0.01389269344508648,0.3846176862716675,-0.0003895275294780731,174.43
Head_Tilt_Lateral_Left,0.056573113426566124,-0.6071308553218842,-0.17734719067811966,0.03291301429271698,-0.4970840662717819,-0.04523447435349226,0.17382949590682983,-0.46214058995246887,-0.02336057834327221,97.67
Head_Pitch_Forward_Back,0.08451186865568161,-0.601324737071991,-0.2912752628326416,0.056573113426566124,-0.6071308553218842,-0.17734719067811966,0.03291301429271698,-0.4970840662717819,-0.04523447435349226,137.69
Torso_Twist_Orientation_Left,0.17382949590682983,-0.46214058995246887,-0.02336057834327221,0.03291301429271698,-0.4970840662717819,-0.04523447435349226,0.0015795007348060608,-0.0016452064737677574,0.0005414858460426331,79.05
