mediapipe_joint_description,point_a_x,point_a_y,point_a_z,vertex_b_x,vertex_b_y,vertex_b_z,point_c_x,point_c_y,point_c_z,angle_deg
Left Elbow,0.12000374495983124,-0.48240986466407776,-0.050233498215675354,0.2452651411294937,-0.3044798672199249,-0.0591643825173378,0.1938607096672058,-0.1448606550693512,-0.0906652957201004,126.77
Right Elbow,-0.2221963107585907,-0.5199021100997925,0.012210450135171413,-0.35721355676651,-0.3170931935310364,-0.033306144177913666,-0.4488774538040161,-0.38250043988227844,-0.19546277821063995,97.62
Left Knee,0.1075107753276825,-0.0037995241582393646,0.039077986031770706,0.14326006174087524,0.4225023686885834,-0.01323715876787901,0.0857904702425003,0.5709604620933533,0.3019528090953827,107.10
Right Knee,-0.10535699874162674,-0.0016776733100414276,-0.03552795574069023,-0.044572215527296066,0.35334542393684387,-0.07824532687664032,-0.06104530394077301,0.7016004323959351,0.0858873799443245,145.82
Torso_Lean_Forward_Back,-0.05109628289937973,-0.5011559873819351,-0.01901152404025197,0.0010768882930278778,-0.002738598734140396,0.0017750151455402374,0.04934392310678959,0.3879238963127136,-0.045741242822259665,170.68
Head_Tilt_Lateral_Left,-0.1029320489615202,-0.6099463403224945,-0.16578888148069382,-0.05109628289937973,-0.5011559873819351,-0.01901152404025197,0.12000374495983124,-0.48240986466407776,-0.050233498215675354,100.98
Head_Pitch_Forward_Back,-0.14078772068023682,-0.6174665689468384,-0.27798086404800415,-0.1029320489615202,-0.6099463403224945,-0.16578888148069382,-0.05109628289937973,-0.5011559873819351,-0.01901152404025197,148.68
Torso_Twist_Orientation_Left,0.12000374495983124,-0.48240986466407776,-0.050233498215675354,-0.05109628289937973,-0.5011559873819351,-0.01901152404025197,0.0010768882930278778,-0.002738598734140396,0.0017750151455402374,78.41
