5.958333,P
6.000000,I
6.041667,P
6.083333,P
6.125000,P
6.166667,P
6.208333,P
6.250000,B
6.291667,P
6.333333,P
6.375000,B
6.416667,B
6.458333,P
6.500000,B
6.541667,B
6.583333,B
6.625000,P
6.666667,B
6.708333,B
6.750000,B
6.791667,P
6.833333,B
6.875000,B
6.916667,B
6.958333,P
7.000000,B
7.041667,B
7.083333,B
7.125000,P
7.166667,B
7.208333,B
7.250000,B
7.291667,P
7.333333,B
7.375000,B
7.416667,B
7.458333,P
7.500000,B
7.541667,B
7.583333,B
7.625000,P
7.666667,B
7.708333,B
7.750000,B
7.791667,P
7.833333,B
7.875000,P
7.916667,P
