Index,Timestamp (s),Peak Frequency (Hz),Potential Event
1,0.0116,559.86,GUNSHOT (9mm/Rifle Spectral Peak)
2,0.0232,559.86,GUNSHOT (9mm/Rifle Spectral Peak)
3,0.0348,732.13,GUNSHOT (9mm/Rifle Spectral Peak)
4,0.0464,732.13,GUNSHOT (9mm/Rifle Spectral Peak)
5,0.0580,516.80,GUNSHOT (9mm/Rifle Spectral Peak)
6,0.0697,387.60,LARGE EXPLOSION (Low Frequency)
7,0.0813,430.66,Ambient/Speech
8,0.0929,516.80,GUNSHOT (9mm/Rifle Spectral Peak)
9,0.1045,387.60,LARGE EXPLOSION (Low Frequency)
10,0.1161,301.46,LARGE EXPLOSION (Low Frequency)
11,0.1277,301.46,LARGE EXPLOSION (Low Frequency)
12,0.1393,387.60,LARGE EXPLOSION (Low Frequency)
13,0.1509,344.53,LARGE EXPLOSION (Low Frequency)
14,0.1625,559.86,GUNSHOT (9mm/Rifle Spectral Peak)
15,0.1741,559.86,GUNSHOT (9mm/Rifle Spectral Peak)
16,0.1858,516.80,GUNSHOT (9mm/Rifle Spectral Peak)
17,0.1974,473.73,Ambient/Speech
18,0.2090,301.46,LARGE EXPLOSION (Low Frequency)
19,0.2206,301.46,LARGE EXPLOSION (Low Frequency)
20,0.2322,516.80,GUNSHOT (9mm/Rifle Spectral Peak)
21,0.2438,344.53,LARGE EXPLOSION (Low Frequency)
22,0.2554,473.73,Ambient/Speech
23,0.2670,473.73,Ambient/Speech
24,0.2786,473.73,Ambient/Speech
25,0.2902,602.93,GUNSHOT (9mm/Rifle Spectral Peak)
26,0.3019,602.93,GUNSHOT (9mm/Rifle Spectral Peak)
27,0.3135,646.00,GUNSHOT (9mm/Rifle Spectral Peak)
28,0.3251,646.00,GUNSHOT (9mm/Rifle Spectral Peak)
29,0.3367,689.06,GUNSHOT (9mm/Rifle Spectral Peak)
30,0.3483,689.06,GUNSHOT (9mm/Rifle Spectral Peak)
31,0.3599,689.06,GUNSHOT (9mm/Rifle Spectral Peak)
32,0.3715,689.06,GUNSHOT (9mm/Rifle Spectral Peak)
33,0.3831,430.66,Ambient/Speech
34,0.3947,430.66,Ambient/Speech
35,0.4063,430.66,Ambient/Speech
36,0.4180,732.13,GUNSHOT (9mm/Rifle Spectral Peak)
37,0.4296,430.66,Ambient/Speech
38,0.4412,559.86,GUNSHOT (9mm/Rifle Spectral Peak)
39,0.4528,387.60,LARGE EXPLOSION (Low Frequency)
40,0.4644,430.66,Ambient/Speech
41,0.4760,559.86,GUNSHOT (9mm/Rifle Spectral Peak)
42,0.4876,387.60,LARGE EXPLOSION (Low Frequency)
43,0.4992,430.66,Ambient/Speech
44,0.5108,430.66,Ambient/Speech
45,0.5224,559.86,GUNSHOT (9mm/Rifle Spectral Peak)
46,0.5341,646.00,GUNSHOT (9mm/Rifle Spectral Peak)
47,0.5457,646.00,GUNSHOT (9mm/Rifle Spectral Peak)
48,0.5573,215.33,LARGE EXPLOSION (Low Frequency)
49,0.5689,602.93,GUNSHOT (9mm/Rifle Spectral Peak)
50,0.5805,301.46,LARGE EXPLOSION (Low Frequency)
51,0.5921,602.93,GUNSHOT (9mm/Rifle Spectral Peak)
52,0.6037,559.86,GUNSHOT (9mm/Rifle Spectral Peak)
53,0.6153,602.93,GUNSHOT (9mm/Rifle Spectral Peak)
54,0.6269,602.93,GUNSHOT (9mm/Rifle Spectral Peak)
55,0.6385,258.40,LARGE EXPLOSION (Low Frequency)
56,0.6502,775.20,GUNSHOT (9mm/Rifle Spectral Peak)
57,0.6618,430.66,Ambient/Speech
58,0.6734,602.93,GUNSHOT (9mm/Rifle Spectral Peak)
59,0.6850,602.93,GUNSHOT (9mm/Rifle Spectral Peak)
60,0.6966,430.66,Ambient/Speech
61,0.7082,387.60,LARGE EXPLOSION (Low Frequency)
62,0.7198,602.93,GUNSHOT (9mm/Rifle Spectral Peak)
63,0.7314,646.00,GUNSHOT (9mm/Rifle Spectral Peak)
64,0.7430,602.93,GUNSHOT (9mm/Rifle Spectral Peak)
65,0.7546,344.53,LARGE EXPLOSION (Low Frequency)
66,0.7663,602.93,GUNSHOT (9mm/Rifle Spectral Peak)
67,0.7779,602.93,GUNSHOT (9mm/Rifle Spectral Peak)
68,0.7895,602.93,GUNSHOT (9mm/Rifle Spectral Peak)
69,0.8011,646.00,GUNSHOT (9mm/Rifle Spectral Peak)
70,0.8127,473.73,Ambient/Speech
71,0.8243,602.93,GUNSHOT (9mm/Rifle Spectral Peak)
72,0.8359,602.93,GUNSHOT (9mm/Rifle Spectral Peak)
73,0.8475,646.00,GUNSHOT (9mm/Rifle Spectral Peak)
74,0.8591,602.93,GUNSHOT (9mm/Rifle Spectral Peak)
75,0.8707,1981.05,Ambient/Speech
76,0.8824,3100.78,Ambient/Speech
77,0.8940,2024.12,Ambient/Speech
78,0.9056,2067.19,Ambient/Speech
79,0.9172,473.73,Ambient/Speech
80,0.9288,1464.26,GUNSHOT (9mm/Rifle Spectral Peak)
