event_id,frame,landmark_index,x_px,y_px
2,onset,7,179,110
2,onset,8,104,85
2,onset,9,159,102
2,onset,10,134,95
2,onset,11,195,175
2,onset,12,44,153
2,onset,13,262,310
2,onset,14,-3,257
2,onset,15,245,276
2,onset,16,88,247
2,onset,17,234,293
2,onset,18,125,272
2,onset,19,202,278
2,onset,20,150,259
2,onset,21,204,271
2,onset,22,156,244
2,onset,23,155,366
2,onset,24,62,352
2,onset,25,212,399
2,onset,26,143,405
2,onset,27,201,516
2,onset,28,96,518
2,onset,29,-1,-1
2,onset,30,-1,-1
2,onset,31,-1,-1
2,onset,32,-1,-1
2,peak,0,165,89
2,peak,1,174,88
2,peak,2,179,91
2,peak,3,183,95
2,peak,4,160,80
2,peak,5,154,79
2,peak,6,146,77
2,peak,7,187,129
2,peak,8,114,93
2,peak,9,165,112
2,peak,10,144,102
2,peak,11,195,198
2,peak,12,44,156
2,peak,13,263,324
2,peak,14,2,230
2,peak,15,256,264
2,peak,16,74,206
2,peak,17,233,265
2,peak,18,113,217
2,peak,19,218,242
2,peak,20,132,201
2,peak,21,216,236
2,peak,22,139,189
2,peak,23,151,380
2,peak,24,55,365
2,peak,25,212,405
2,peak,26,131,405
2,peak,27,199,518
2,peak,28,93,517
2,peak,29,-1,-1
2,peak,30,-1,-1
2,peak,31,-1,-1
2,peak,32,-1,-1
3,baseline,0,272,129
3,baseline,1,272,137
3,baseline,2,272,139
3,baseline,3,273,144
3,baseline,4,272,120
3,baseline,5,269,115
3,baseline,6,262,113
3,baseline,7,252,176
3,baseline,8,216,103
3,baseline,9,260,146
3,baseline,10,252,126
3,baseline,11,226,229
3,baseline,12,124,139
3,baseline,13,243,369
3,baseline,14,82,214
3,baseline,15,324,302
3,baseline,16,207,183
3,baseline,17,344,304
3,baseline,18,245,176
3,baseline,19,360,270
3,baseline,20,251,152
3,baseline,21,351,267
3,baseline,22,238,147
3,baseline,23,157,383
3,baseline,24,82,364
3,baseline,25,257,401
3,baseline,26,177,401
3,baseline,27,230,515
3,baseline,28,115,515
3,baseline,29,-1,-1
3,baseline,30,-1,-1
3,baseline,31,-1,-1
3,baseline,32,-1,-1
3,onset,0,272,129
3,onset,1,272,137
3,onset,2,272,139
3,onset,3,273,144
3,onset,4,272,120
3,onset,5,269,115
3,onset,6,262,113
3,onset,7,245,177
3,onset,8,216,103
3,onset,9,260,146
3,onset,10,252,126
3,onset,11,226,226
3,onset,12,128,134
3,onset,13,243,369
3,onset,14,90,206
3,onset,15,326,298
3,onset,16,217,174
3,onset,17,348,297
3,onset,18,250,169
3,onset,19,363,261
3,onset,20,255,144
3,onset,21,357,261
3,onset,22,247,141
3,onset,23,157,381
3,onset,24,85,359
3,onset,25,262,398
3,onset,26,181,396
3,onset,27,230,516
3,onset,28,115,514
3,onset,29,-1,-1
3,onset,30,-1,-1
3,onset,31,-1,-1
3,onset,32,-1,-1
3,peak,0,276,124
3,peak,1,272,132
3,peak,2,273,136
3,peak,3,275,138
3,peak,4,271,117
3,peak,5,269,115
3,peak,6,266,113
3,peak,7,245,176
3,peak,8,218,100
3,peak,9,263,139
3,peak,10,257,122
3,peak,11,228,225
3,peak,12,131,132
3,peak,13,252,366
3,peak,14,90,206
3,peak,15,331,286
3,peak,16,215,173
3,peak,17,347,287
3,peak,18,254,160
3,peak,19,366,252
3,peak,20,254,131
3,peak,21,357,252
3,peak,22,247,133
3,peak,23,157,381
3,peak,24,87,357
3,peak,25,262,398
3,peak,26,181,396
3,peak,27,230,516
3,peak,28,115,514
3,peak,29,-1,-1
3,peak,30,-1,-1
3,peak,31,-1,-1
3,peak,32,-1,-1
4,baseline,0,260,79
4,baseline,1,261,87
4,baseline,2,262,88
4,baseline,3,261,90
4,baseline,4,254,72
4,baseline,5,253,71
4,baseline,6,251,69
4,baseline,7,246,129
4,baseline,8,199,63
4,baseline,9,255,89
4,baseline,10,248,78
4,baseline,11,226,187
4,baseline,12,135,94
4,baseline,13,264,309
4,baseline,14,90,162
4,baseline,15,327,231
4,baseline,16,212,124
4,baseline,17,341,223
4,baseline,18,256,111
4,baseline,19,367,177
4,baseline,20,244,84
4,baseline,21,350,186
4,baseline,22,237,85
4,baseline,23,145,336
4,baseline,24,93,301
4,baseline,25,275,361
4,baseline,26,215,342
4,baseline,27,285,482
4,baseline,28,143,468
4,baseline,29,-1,-1
4,baseline,30,-1,-1
4,baseline,31,-1,-1
4,baseline,32,-1,-1
4,onset,0,255,73
4,onset,1,256,81
4,onset,2,256,83
4,onset,3,256,85
4,onset,4,250,68
4,onset,5,248,66
4,onset,6,245,65
4,onset,7,240,127
4,onset,8,193,60
4,onset,9,249,83
4,onset,10,241,72
4,onset,11,220,184
4,onset,12,129,90
4,onset,13,260,301
4,onset,14,83,161
4,onset,15,325,225
4,onset,16,206,121
4,onset,17,337,217
4,onset,18,243,110
4,onset,19,363,168
4,onset,20,240,84
4,onset,21,343,179
4,onset,22,228,83
4,onset,23,140,332
4,onset,24,90,298
4,onset,25,275,361
4,onset,26,215,342
4,onset,27,285,482
4,onset,28,133,479
4,onset,29,-1,-1
4,onset,30,-1,-1
4,onset,31,-1,-1
4,onset,32,-1,-1
4,peak,0,249,71
4,peak,1,251,81
4,peak,2,251,83
4,peak,3,253,85
4,peak,4,250,68
4,peak,5,241,65
4,peak,6,238,63
4,peak,7,234,126
4,peak,8,187,59
4,peak,9,249,83
4,peak,10,241,72
4,peak,11,213,179
4,peak,12,122,89
4,peak,13,260,301
4,peak,14,83,161
4,peak,15,325,225
4,peak,16,206,121
4,peak,17,337,217
4,peak,18,243,110
4,peak,19,363,168
4,peak,20,240,84
4,peak,21,343,179
4,peak,22,228,83
4,peak,23,136,332
4,peak,24,86,298
4,peak,25,275,361
4,peak,26,215,342
4,peak,27,294,479
4,peak,28,126,473
4,peak,29,-1,-1
4,peak,30,-1,-1
4,peak,31,-1,-1
4,peak,32,-1,-1
5,baseline,0,170,95
5,baseline,1,173,103
5,baseline,2,175,105
5,baseline,3,176,109
5,baseline,4,164,92
5,baseline,5,162,90
5,baseline,6,159,89
5,baseline,7,161,155
5,baseline,8,108,93
5,baseline,9,164,105
5,baseline,10,155,96
5,baseline,11,156,210
5,baseline,12,58,158
5,baseline,13,200,332
5,baseline,14,-20,196
5,baseline,15,257,238
5,baseline,16,110,162
5,baseline,17,268,225
5,baseline,18,146,146
5,baseline,19,281,174
5,baseline,20,147,124
5,baseline,21,252,206
5,baseline,22,133,122
5,baseline,23,87,351
5,baseline,24,39,335
