event_id,frame,landmark_index,x_px,y_px
2,onset,12,44,153
2,onset,13,250,284
2,onset,14,-3,257
2,onset,15,243,271
2,onset,16,80,250
2,onset,17,249,283
2,onset,18,112,261
2,onset,19,223,258
2,onset,20,123,241
2,onset,21,217,258
2,onset,22,116,240
2,onset,23,155,366
2,onset,24,62,352
2,onset,25,202,457
2,onset,26,93,449
2,onset,27,177,616
2,onset,28,75,605
2,onset,29,171,637
2,onset,30,71,631
2,onset,31,170,666
2,onset,32,83,647
2,peak,0,161,85
2,peak,1,173,81
2,peak,2,179,86
2,peak,3,184,91
2,peak,4,155,71
2,peak,5,149,68
2,peak,6,143,66
2,peak,7,183,102
2,peak,8,125,73
2,peak,9,164,108
2,peak,10,144,98
2,peak,11,195,198
2,peak,12,44,156
2,peak,13,254,320
2,peak,14,-10,266
2,peak,15,255,275
2,peak,16,74,213
2,peak,17,250,268
2,peak,18,106,204
2,peak,19,241,237
2,peak,20,113,186
2,peak,21,238,241
2,peak,22,107,194
2,peak,23,151,380
2,peak,24,55,365
2,peak,25,211,448
2,peak,26,87,465
2,peak,27,178,600
2,peak,28,50,587
2,peak,29,172,607
2,peak,30,57,614
2,peak,31,178,643
2,peak,32,67,631
3,baseline,0,252,146
3,baseline,1,260,140
3,baseline,2,260,143
3,baseline,3,260,145
3,baseline,4,253,127
3,baseline,5,248,122
3,baseline,6,243,118
3,baseline,7,252,150
3,baseline,8,226,117
3,baseline,9,237,158
3,baseline,10,226,143
3,baseline,11,226,229
3,baseline,12,124,139
3,baseline,13,232,348
3,baseline,14,73,227
3,baseline,15,320,311
3,baseline,16,203,183
3,baseline,17,346,302
3,baseline,18,230,167
3,baseline,19,349,288
3,baseline,20,227,150
3,baseline,21,338,287
3,baseline,22,219,154
3,baseline,23,157,383
3,baseline,24,82,364
3,baseline,25,258,417
3,baseline,26,199,398
3,baseline,27,189,546
3,baseline,28,183,538
3,baseline,29,162,559
3,baseline,30,166,566
3,baseline,31,200,586
3,baseline,32,228,570
3,onset,0,254,148
3,onset,1,261,141
3,onset,2,261,144
3,onset,3,262,146
3,onset,4,255,130
3,onset,5,251,126
3,onset,6,247,122
3,onset,7,253,149
3,onset,8,227,118
3,onset,9,239,158
3,onset,10,230,145
3,onset,11,226,226
3,onset,12,128,134
3,onset,13,236,342
3,onset,14,82,219
3,onset,15,324,303
3,onset,16,218,173
3,onset,17,351,293
3,onset,18,242,160
3,onset,19,354,280
3,onset,20,235,145
3,onset,21,342,280
3,onset,22,227,148
3,onset,23,157,381
3,onset,24,85,359
3,onset,25,263,406
3,onset,26,200,394
3,onset,27,203,542
3,onset,28,164,549
3,onset,29,173,558
3,onset,30,154,575
3,onset,31,223,581
3,onset,32,202,576
3,peak,0,257,147
3,peak,1,264,141
3,peak,2,265,143
3,peak,3,265,146
3,peak,4,258,129
3,peak,5,254,125
3,peak,6,249,121
3,peak,7,258,148
3,peak,8,227,117
3,peak,9,243,158
3,peak,10,235,144
3,peak,11,228,225
3,peak,12,131,132
3,peak,13,241,342
3,peak,14,88,214
3,peak,15,325,297
3,peak,16,228,165
