A_Time,Muzzle_Ratio,PA_Bias,Decay_Factor,Classification,Dist_m
1.1255,40.47,0.21,2.79,PETN_RIG_DETONATION,N/A
1.3094,694.97,18.71,4.37,GENUINE_MUZZLE_BLAST,N/A
