Shot_ID,Dist_m,Lat,Lon,Alt_m,S_M_Interval,Ratio
1,55.2,40.27753,-111.71461805,1402.78747731397,203.9,15.59
2,119.17,40.27752999,-111.71537022,1402.78747731397,387.7,152.58
