Shot_ID,Nature,Range_m,Lat,Lon,Alt_m,Forensic_Status
1,PETN_RIG_DETONATION,8.78,40.27753,-111.71407224,1402.79,PROBABLE_STAGED_EVENT
2,GENUINE_MUZZLE_BLAST,14.8,40.27753,-111.71414302,1402.79,VERIFIED_STRIKE
