Shot_ID,A_Time,Nature,Dist_m,Status,True_Range,Origin
1,1.1255,PETN_RIG_DETONATION,8.78,PROBABLE_STAGED_EVENT,0.0,West (Behind)
2,1.3094,GENUINE_MUZZLE_BLAST,14.8,VERIFIED_STRIKE,14.8,West (Behind)
