Event,V_Time,A_Time,Lag_ms,Dist_m,Ratio,Origin,Status,Classification
A-0,N/A,1.1256,N/A,N/A,15.59,N/A,ACOUSTIC_DISCOVERY,MUZZLE_BLAST
A-1,N/A,1.3094,N/A,N/A,152.58,N/A,ACOUSTIC_DISCOVERY,MUZZLE_BLAST
