Timestamp,spread
0,5367.695
0.02322,3279.7200000000003
0.0464399,2116.06
0.0696599,1853.265
0.0928798,1820.375
0.1161,1977.1999999999998
0.13932,2001.03
0.16254,1991.7150000000001
0.18576,1715.875
0.20898,2122.685
0.2322,2543.94
0.25542,2470.0
0.278639,1985.615
0.301859,3161.215
0.325079,3724.9300000000003
0.348299,3240.6400000000003
0.371519,3162.0249999999996
0.394739,3349.4
0.417959,3264.62
0.441179,3397.375
0.464399,3075.6549999999997
0.487619,2953.26
0.510839,2854.625
0.534059,2825.9700000000003
0.557279,2777.665
0.580499,2597.3599999999997
0.603719,2392.385
0.626939,1655.785
0.650159,1639.055
0.673379,2129.45
0.696599,2184.4449999999997
0.719819,2722.2200000000003
0.743039,2802.46
0.766259,2669.68
0.789478,2305.87
0.812698,2535.445
0.835918,2863.695
0.859138,3420.5550000000003
0.882358,4523.92
0.905578,4280.545
0.928798,4202.865
0.952018,4183.79
0.975238,4111.700000000001
0.998458,3585.565
1.02168,3472.495
1.0449,3252.34
1.06812,2694.665
1.09134,3818.645
1.11456,2945.4750000000004
1.13778,3053.625
1.161,2701.56
1.18422,2271.5699999999997
1.20744,2167.8050000000003
1.23066,1955.38
1.25388,2017.4500000000003
1.2771,1762.5700000000002
1.30032,1706.74
1.32354,1542.395
1.34676,1736.705
1.36998,1845.155
1.3932,2144.76
1.41642,2285.075
1.43964,2150.115
1.46286,1884.635
1.48608,2084.215
1.5093,2234.59
1.53252,2391.77
1.55574,2287.995
1.57896,1885.8049999999998
1.60218,1882.0
1.6254,1845.6599999999999
1.64862,1925.7350000000001
1.67184,2156.56
1.69506,1973.37
1.71828,2227.13
1.7415,2649.1949999999997
1.76472,2880.9
1.78794,2802.52
1.81116,2766.625
1.83438,2798.19
1.8576,2765.225
1.88082,2945.7799999999997
1.90404,2566.6850000000004
1.92726,2569.0249999999996
1.95048,2420.8599999999997
1.9737,2393.265
1.99692,4046.005
