Timestamp,centroid,peak_level_db
0,3815.74,-15.013259
0.02322,2103.865,-3.845342
0.0464399,1390.63,-3.845342
0.0696599,1373.5149999999999,-3.845342
0.0928798,1442.345,-3.845342
0.1161,1546.6750000000002,-3.845342
0.13932,1425.455,-3.845342
0.16254,1189.2350000000001,-3.845342
0.18576,820.0625,-3.845342
0.20898,1012.3755000000001,-3.845342
0.2322,1500.33,-3.845342
0.25542,1314.54,-3.845342
0.278639,1000.6579999999999,-3.845342
0.301859,2111.44,-3.845342
0.325079,5074.945,-3.845342
0.348299,5822.5,-3.845342
0.371519,5556.51,-3.845342
0.394739,5317.655000000001,-3.845342
0.417959,5050.595,-3.845342
0.441179,3193.425,-3.845342
0.464399,2545.12,-3.845342
0.487619,2142.4,-3.845342
0.510839,1987.0,-3.845342
0.534059,1810.615,-3.845342
0.557279,1658.56,-3.845342
0.580499,1755.365,-3.845342
0.603719,1722.65,-3.845342
0.626939,1111.1550000000002,-3.177509
0.650159,1376.685,-3.177509
0.673379,1916.33,-3.177509
0.696599,2064.75,-3.177509
0.719819,2426.01,-3.177509
0.743039,2234.23,-3.177509
0.766259,1962.7350000000001,-3.177509
0.789478,1445.99,-3.177509
0.812698,1586.045,-3.177509
0.835918,2121.365,-3.177509
0.859138,3552.5750000000003,-1.94536
0.882358,5438.04,-1.197828
0.905578,5031.625,-1.197828
0.928798,5329.295,-1.197828
0.952018,5240.68,-1.197828
0.975238,4682.74,-1.197828
0.998458,3698.27,-1.197828
1.02168,3384.8,-1.197828
1.0449,3058.49,-1.197828
1.06812,1932.145,-1.197828
1.09134,3412.8,-1.197828
1.11456,2431.9700000000003,-1.197828
1.13778,2587.135,-1.197828
1.161,2205.625,-1.197828
1.18422,1985.79,-1.197828
1.20744,1847.01,-1.197828
1.23066,1607.935,-1.197828
1.25388,1768.0349999999999,-1.197828
1.2771,1433.62,-1.197828
1.30032,1328.71,-1.197828
1.32354,1222.185,-1.197828
1.34676,1215.195,-1.197828
1.36998,1330.0349999999999,-1.197828
1.3932,1463.495,-1.197828
1.41642,1532.865,-1.197828
1.43964,1537.9,-1.197828
1.46286,2316.31,-1.197828
