Timestamp,Flatness
0,0.42799849999999995
0.02322,0.056889999999999996
0.0464399,0.026483100000000002
0.0696599,0.02470165
0.0928798,0.023458800000000002
0.1161,0.022322250000000002
0.13932,0.02514195
0.16254,0.02683315
0.18576,0.02415985
0.20898,0.0326095
0.2322,0.04695045
0.25542,0.04363035
0.278639,0.040373000000000006
0.301859,0.0653205
0.325079,0.07788519999999999
0.348299,0.06336425
0.371519,0.075039
0.394739,0.0841099
0.417959,0.09770105
0.441179,0.10519049999999999
0.464399,0.1046865
0.487619,0.1025733
0.510839,0.0985643
0.534059,0.09072975
0.557279,0.0839918
0.580499,0.0780534
0.603719,0.04684745
0.626939,0.01905335
0.650159,0.01859035
0.673379,0.027274
0.696599,0.036679
0.719819,0.0655792
0.743039,0.056774050000000006
0.766259,0.04659535
0.789478,0.051343
0.812698,0.0796756
0.835918,0.08344265000000001
0.859138,0.08292275
0.882358,0.1121705
0.905578,0.11645
0.928798,0.114708
0.952018,0.12354899999999999
0.975238,0.135628
0.998458,0.11130000000000001
1.02168,0.1112195
1.0449,0.09858575
1.06812,0.07226355
1.09134,0.13247799999999998
1.11456,0.0840874
1.13778,0.07928615
1.161,0.081667
1.18422,0.06144625
1.20744,0.049144900000000005
1.23066,0.04074245
1.25388,0.051916000000000004
1.2771,0.0389381
1.30032,0.0352194
1.32354,0.02947255
1.34676,0.03868505
1.36998,0.0484805
1.3932,0.06294975
1.41642,0.0688876
1.43964,0.0594648
1.46286,0.0444696
1.48608,0.0458097
1.5093,0.046282000000000004
1.53252,0.04907215
1.55574,0.04098485
1.57896,0.0304112
1.60218,0.029453599999999996
1.6254,0.0303588
1.64862,0.0344796
1.67184,0.042393600000000004
1.69506,0.0370953
1.71828,0.049512650000000005
1.7415,0.07552385
1.76472,0.0905329
1.78794,0.088919
1.81116,0.0853241
1.83438,0.0830269
1.8576,0.08244435
1.88082,0.09988949999999999
1.90404,0.07523225
1.92726,0.07298475
1.95048,0.0683243
1.9737,0.0617456
1.99692,0.26722250000000003
