Timestamp,centroid
0,3815.74
0.02322,2103.865
0.0464399,1390.63
0.0696599,1373.5149999999999
0.0928798,1442.345
0.1161,1546.6750000000002
0.13932,1425.455
0.16254,1189.2350000000001
0.18576,820.0625
0.20898,1012.3755000000001
0.2322,1500.33
0.25542,1314.54
0.278639,1000.6579999999999
0.301859,2111.44
0.325079,5074.945
0.348299,5822.5
0.371519,5556.51
0.394739,5317.655000000001
0.417959,5050.595
0.441179,3193.425
0.464399,2545.12
0.487619,2142.4
0.510839,1987.0
0.534059,1810.615
0.557279,1658.56
0.580499,1755.365
0.603719,1722.65
0.626939,1111.1550000000002
0.650159,1376.685
0.673379,1916.33
0.696599,2064.75
0.719819,2426.01
0.743039,2234.23
0.766259,1962.7350000000001
0.789478,1445.99
0.812698,1586.045
0.835918,2121.365
0.859138,3552.5750000000003
0.882358,5438.04
0.905578,5031.625
0.928798,5329.295
0.952018,5240.68
0.975238,4682.74
0.998458,3698.27
1.02168,3384.8
1.0449,3058.49
1.06812,1932.145
1.09134,3412.8
1.11456,2431.9700000000003
1.13778,2587.135
1.161,2205.625
1.18422,1985.79
1.20744,1847.01
1.23066,1607.935
1.25388,1768.0349999999999
1.2771,1433.62
1.30032,1328.71
1.32354,1222.185
1.34676,1215.195
1.36998,1330.0349999999999
1.3932,1463.495
1.41642,1532.865
1.43964,1537.9
1.46286,1563.95
1.48608,1594.59
1.5093,1561.745
1.53252,1710.375
1.55574,1711.65
1.57896,1574.56
1.60218,1590.075
1.6254,1599.5149999999999
1.64862,1663.38
1.67184,1772.295
1.69506,1572.065
1.71828,1466.5900000000001
1.7415,1785.6100000000001
1.76472,1968.4
1.78794,1847.975
1.81116,1793.385
1.83438,1789.9099999999999
1.8576,1740.56
1.88082,1998.5
1.90404,1730.145
1.92726,1756.9850000000001
1.95048,1773.33
1.9737,1901.92
1.99692,2751.25
